ticker,roeq,acc,agr,mom12m,mom1m,price,mve,size,composite
ZYXI,0.9015212169735789,0.9423538831064852,0.921537229783827,0.923138510808647,0.7814251401120896,14.14,6.272122004622799,1666.5,0.8939951961569255
IRWD,0.9375500400320256,0.9911929543634908,0.9359487590072058,0.633306645316253,0.7293835068054444,12.41,7.551502109246955,1082.0,0.8454763811048839
MPX,0.9471577261809447,0.9815852682145717,0.5700560448358687,0.8863090472377902,0.7702161729383507,11.6,5.983684359789019,1777.0,0.8310648518815051
CCS,0.9071257005604484,0.9839871897518014,0.7405924739791834,0.6381104883907126,0.8622898318654924,54.8,7.462272376372552,1124.0,0.8264211369095277
FRD,0.5596477181745396,0.9719775820656525,0.9015212169735789,0.7165732586068855,0.9191353082465973,9.95,4.294560608892605,2166.0,0.8137710168134508
GMS,0.9311449159327462,0.8566853482786229,0.7518014411529224,0.7197758206565252,0.7918334667734187,49.98,7.640267393064337,1048.0,0.810248198558847
AMRK,0.932746196957566,0.9703763010408326,0.7205764611689351,0.7662129703763011,0.6293034427542034,34.88,6.706984578519652,1477.0,0.8038430744595676
PRIM,0.7718174539631706,0.8190552441953562,0.7854283426741393,0.8142514011208967,0.8198558847077662,22.26,7.075216972869068,1313.0,0.8020816653322658
PATK,0.8935148118494796,0.5524419535628503,0.8702962369895917,0.8278622898318655,0.8542834267413931,62.2,7.251132194776879,1231.0,0.799679743795036
PLBC,0.8871096877502002,0.8358686949559647,0.8526821457165733,0.8150520416333067,0.589271417133707,36.57,5.36550861608836,1976.0,0.7959967974379504
CODA,0.7822257806244995,0.8694955964771818,0.7005604483586869,0.7650120096076861,0.855084067253803,6.99,4.329416684401584,2163.0,0.7944755804643715
BGSF,0.8246597277822257,0.8911128903122498,0.6317053642914331,0.6821457165732586,0.9423538831064852,15.36,5.083265985131163,2040.0,0.7943955164131304
BXC,0.9535628502802241,0.9519615692554043,0.7566052842273819,0.466773418734988,0.8414731785428343,70.6,6.45818153124791,1584.0,0.7940752602081667
IESC,0.8238590872698158,0.8406725380304243,0.7293835068054444,0.755004003202562,0.8046437149719776,35.74,6.583132558718074,1534.0,0.7907125700560449
LYTS,0.77822257806245,0.9087269815852682,0.5060048038430744,0.9535628502802241,0.799839871897518,12.19,5.824819469699035,1831.0,0.7892714171337071
RNGR,0.8606885508406725,0.9655724579663731,0.8927141713370697,0.6044835868694955,0.5788630904723779,11.05,5.6164073951712,1895.0,0.7804643714971977
PANL,0.8919135308246597,0.7990392313851081,0.8839071257005604,0.4699759807846277,0.8534827862289832,5.32,5.4983969782636954,1933.0,0.7796637309847878
TWI,0.9631705364291433,0.8606885508406725,0.6381104883907126,0.567654123298639,0.8630904723779024,15.0,6.848748098402104,1413.5,0.7785428342674139
UFPT,0.9247397918334668,0.7926341072858286,0.8959167333867094,0.9159327461969575,0.35948759007205766,111.57,6.739928168338635,1460.0,0.777742193755004
RYI,0.8927141713370697,0.944755804643715,0.7974379503602882,0.5124099279423538,0.7365892714171337,30.29,7.022065625159548,1337.0,0.7767814251401121
