ticker,roeq,acc,agr,mom12m,mom1m,price,mve,size,composite
BWMN,0.6509207365892714,0.3811048839071257,0.9431545236188951,0.6277021617293835,0.910328262610088,20.48,5.623656430176916,1891.5,0.7026421136909529
NWPX,0.6877502001601281,0.8751000800640513,0.8606885508406725,0.8382706164931946,0.2514011208967174,33.36,5.802722422511105,1842.0,0.7026421136909528
TCPC,0.6701361088871097,0.9479583666933546,0.6156925540432346,0.5212169735788631,0.7574059247397918,13.05,6.625259733217656,1520.0,0.7024819855884707
WTBA,0.8478783026421137,0.6845476381104884,0.5436349079263411,0.6012810248198559,0.8310648518815053,24.29,6.001909804969521,1771.0,0.701681345076061
HIBB,0.9167333867093675,0.8326661329063251,0.0656525220176141,0.7950360288230585,0.8823058446757406,69.89,6.7906595071058895,1439.5,0.6984787830264212
INDT,0.36509207365892715,0.7934347477982386,0.9319455564451561,0.7365892714171337,0.6621297037630104,63.43,6.471573198211912,1577.0,0.6978382706164932
CSPI,0.7461969575660529,0.544435548438751,0.6981585268214572,0.5620496397117695,0.9311449159327462,9.65,3.784189633918261,2216.0,0.6963971176941554
CGBD,0.767013610888711,0.8783026421136909,0.41633306645316254,0.6317053642914331,0.7878302642113691,14.49,6.612444179365864,1524.0,0.6962369895916733
VSTO,0.910328262610088,0.9183346677341874,0.8230584467574059,0.5852682145716573,0.2433947157726181,25.09,7.257989526090882,1225.0,0.6960768614891913
DPSI,0.911128903122498,0.45396317053642915,0.6052842273819056,0.7189751801441153,0.7870296236989591,9.15,4.215086179918229,2173.0,0.6952762209767814
NKSH,0.8038430744595677,0.7037630104083267,0.5844675740592474,0.6301040832666133,0.7518014411529224,39.57,5.461286194826177,1952.0,0.6947958366693354
TNGX,0.1377101681345076,0.7734187349879904,0.977582065652522,0.9943955164131305,0.5844675740592474,7.6,6.507426954979125,1563.0,0.6935148118494796
COFS,0.7037630104083267,0.5940752602081665,0.7421937550040032,0.4747798238590873,0.9479583666933546,27.9,5.345200952446887,1983.0,0.6925540432345876
JBSS,0.8598879103282626,0.9375500400320256,0.5876701361088871,0.45316253002401924,0.611689351481185,81.25,6.842256296749441,1418.0,0.689991993594876
ODC,0.7005604483586869,0.5212169735788631,0.5412329863891113,0.8518815052041633,0.8350680544435548,34.41,5.5061442137503525,1927.0,0.6899919935948758
