date,best,worst
2005-01,-0.008667637371690936,-0.09921609006720244
2005-02,0.04690328883152687,-0.029420132952509444
2005-03,-0.010636360861826682,-0.08743788916035554
2005-04,-0.031009991774335496,-0.11516068466647993
2005-05,0.04669781183620215,0.059936309969052665
2005-06,0.06643566875427494,0.01149982792325318
2005-07,0.057036550359334776,0.05103872228195541
2005-08,-0.013337122212833485,-0.03842163263470865
2005-09,0.009248168540566575,-0.02572218041867018
2005-10,0.001122728519258087,-0.08454389074584467
2005-11,0.03733887746202525,0.026362559437693566
2005-12,0.0034902785820304432,-0.011095784390199682
2006-01,0.05944171202339929,0.06979694421694148
2006-02,-0.004940633403602991,-0.0038902936849626634
2006-03,0.043412837475771064,0.04152456714276922
2006-04,0.012398720153141762,0.000524116824800812
2006-05,-0.01652555460532311,-0.07548495990689844
2006-06,0.0036215526825981227,-0.011535287286678787
2006-07,-0.007271605515561524,-0.05869146853685377
2006-08,0.02475453278864733,0.038280450561477865
2006-09,0.02241497934708604,0.012691051395522665
2006-10,0.035549644629354574,0.06788446891936471
2006-11,0.015732852227229158,0.0302144679997582
2006-12,0.01624245162580335,0.0003170224315726933
2007-01,-0.010798168379114929,0.05698851028093486
2007-02,-0.02095171014138031,0.003244944958714775
2007-03,-0.0032005249978101324,-0.022351427581743334
2007-04,-0.010482191356568353,0.0291536928806454
2007-05,0.011167034274258174,0.010885654346784578
2007-06,-0.014178462618147012,-0.00262944026457261
2007-07,-0.07927448253671171,-0.053912172454874945
2007-08,0.010643414814403509,-0.03783082311278121
2007-09,0.008543873235963369,-0.004308220950333629
2007-10,-0.014740735363448032,0.03182343587162905
2007-11,-0.0428342472942313,-0.12101681441126855
2007-12,-0.023692748378937253,-0.06406913336919386
2008-01,-0.009447229702201812,-0.03762561437266412
2008-02,-0.048765337482545856,-0.06663581275730392
2008-03,0.00538492602674523,-0.04356247298768721
2008-04,0.006954736508123462,0.0021441538271028595
2008-05,0.02665106323780491,0.03254706780367996
2008-06,-0.06871732664003499,-0.13088139669736845
2008-07,0.08604754117376613,-0.03863031830114778
2008-08,0.02438930057920514,0.007735317221922742
2008-09,0.022155952486209572,-0.157627883607347
2008-10,-0.10238520658313062,-0.27342263621045276
2008-11,-0.0806755792358308,-0.17268273803929332
2008-12,0.01661050021037226,0.02013760474743322
2009-01,-0.11607841856879529,0.009706482405308643
2009-02,-0.11538632060823145,-0.11283965133479795
2009-03,0.08348317739437333,0.14077174381818622
2009-04,0.08744421867595518,0.2660182005725801
2009-05,0.024128965698182573,0.13892739565810186
2009-06,0.013647662576404403,0.08695805305265822
2009-07,0.054744521832908496,0.09332142453858977
2009-08,-0.0008530322380829547,0.06290450760745443
2009-09,0.02339912681200075,0.14312976394212454
2009-10,-0.04461396904691353,-0.10256954603828489
2009-11,0.012179624293494269,0.01625968670705334
2009-12,0.042888375155744125,0.08762072603160048
2010-01,-0.030551273468881823,0.15496300711180083
2010-02,0.05408480782003606,-0.0017216071436996477
2010-03,0.07909462078823706,0.05255525758606381
2010-04,0.08999008562008383,0.24011346385581414
2010-05,-0.08395761955980557,-0.14085933130867487
2010-06,-0.07221770212887255,-0.1607701326278038
2010-07,0.08098877918266222,0.05440447532804682
2010-08,-0.05997757839068069,-0.10422571185365084
2010-09,0.11457464924198572,0.11342307482380418
2010-10,0.07134977869776774,0.03408693210105411
2010-11,0.06743052774370879,-0.018574424299440572
2010-12,0.076577796767815,0.1120282462146133
2011-01,0.041548389788513294,0.08994523241173738
2011-02,0.04811091954732544,-0.018907118537608764
2011-03,0.021457679650484337,-0.016357561931945375
2011-04,0.015513997914677016,0.0007760010095080338
2011-05,-0.012610527147189705,-0.020287687163799997
2011-06,-0.00750283564828622,-0.06887390902091281
2011-07,-0.02183183520013698,-0.04893324388074688
2011-08,-0.05848017361047821,-0.15595596805913373
2011-09,-0.07631232196115886,-0.16559470374020743
2011-10,0.09619814961217342,0.1285447365386062
2011-11,-0.007432469054911053,-0.06850743026618146
2011-12,0.018376428287883752,0.004051384251506536
2012-01,0.041174399400551905,0.19255183062283318
2012-02,0.042519100201898245,0.06814549716516921
2012-03,0.01191995338303968,0.05597865979594644
2012-04,-0.009523178333329265,-0.010658707771217444
2012-05,-0.0966182783716067,-0.0851502844673814
2012-06,0.06531172938819507,0.006936490735970437
2012-07,-0.012432619850878828,-0.021992209226591498
2012-08,0.03837946547759201,0.007366824807249941
2012-09,0.03215962516522266,0.08814409187780255
2012-10,-0.005770522534585315,-0.058280624992912616
2012-11,-0.009747667990304751,-0.0007044481817138149
2012-12,0.023209341211477278,0.029805405662627887
2013-01,0.0755826184665784,0.1260127663897583
2013-02,0.0043278004381954735,-0.008196518518961964
2013-03,0.04095921910775359,0.06094039171453915
2013-04,0.007695099259581193,0.0003385379847168291
2013-05,0.0478705641417764,0.08900732750131284
2013-06,0.0004374429248855431,-0.025144063560292116
2013-07,0.09049319538519736,0.11084071512799708
2013-08,-0.034926167165394845,-0.04160079220775513
2013-09,0.04911619977749067,0.06705770637861859
2013-10,0.0354153779504122,-0.014055153807275924
2013-11,0.04711274752131429,0.07398434159636963
2013-12,0.012462704942445266,0.02272671010083286
2014-01,-0.023568134571833054,0.034565972838317985
2014-02,0.04492084869285461,0.059856523319904216
2014-03,0.02096498062543104,-0.040707028325996354
2014-04,-0.02977779140986966,-0.08252709045511435
2014-05,-0.003074510031001409,-0.023853091772762118
2014-06,0.03758847896591758,0.030135492840345238
2014-07,-0.04371937926443931,-0.05298732258437664
2014-08,0.03511558690384843,0.03180731695494614
