Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
F,Market - Buy,Ford Motor Co.,US,1660,1,USD,Equities,$13.42 ,"($22,277.20)",11/04/2022 - 14:43
D,Short Proceeds,Dominion Energy Inc,US,-335,1,USD,Equities,$66.76 ,"$22,364.60 ",11/04/2022 - 14:41
BAM,Short Proceeds,Brookfield Asset Management Inc. - Ordinary Shares - Class A,US,-550,1,USD,Equities,$39.94 ,"$21,967.00 ",11/04/2022 - 14:41
BMO,Short Proceeds,Bank of Montreal,US,-235,1,USD,Equities,$93.56 ,"$21,986.60 ",11/04/2022 - 14:39
BAC,Short Proceeds,Bank Of America Corp.,US,-605,1,USD,Equities,$36.54 ,"$22,106.70 ",11/04/2022 - 14:38
WLDN,Market - Buy,Willdan Group Inc,US,1400,1,USD,Equities,$16.24 ,"($22,736.00)",11/04/2022 - 14:32
MRNA,Short Proceeds,Moderna Inc,US,-145,1,USD,Equities,$156.72 ,"$22,724.40 ",11/04/2022 - 14:31
BNTX,Market - Buy,BioNTech SE - ADR,US,145,1,USD,Equities,$152.25 ,"($22,076.25)",11/04/2022 - 14:31
CSSE,Market - Buy,Chicken Soup for the Soul Entertainment Inc - Ordinary Shares - Class A,US,3250,1,USD,Equities,$6.49 ,"($21,092.50)",11/04/2022 - 14:30
TSRI,Market - Buy,"TSR, Inc.",US,3030,1,USD,Equities,$7.30 ,"($22,119.00)",11/04/2022 - 14:30
ICE,Short Proceeds,Intercontinental Exchange Inc,US,-240,1,USD,Equities,$94.90 ,"$22,776.00 ",11/04/2022 - 14:30
KPRX,Market - Buy,Kiora Pharmaceuticals Inc,US,3590,1,USD,Equities,$5.96 ,"($21,396.40)",11/04/2022 - 14:29
CME,Short Proceeds,CME Group Inc - Ordinary Shares - Class A,US,-125,1,USD,Equities,$169.69 ,"$21,211.25 ",11/04/2022 - 14:29
OWL,Short Proceeds,Blue Owl Capital Inc - Ordinary Shares - Class A,US,-2200,1,USD,Equities,$10.15 ,"$22,330.00 ",11/04/2022 - 14:26
BRID,Market - Buy,Bridgford Foods Corporation,US,1949,1,USD,Equities,$11.59 ,"($22,588.91)",11/04/2022 - 14:01
LCID,Short Proceeds,Lucid Group Inc,US,-1660,1,USD,Equities,$13.32 ,"$22,111.20 ",11/04/2022 - 14:01
ROOT,Market - Buy,Root Inc - Ordinary Shares - Class A,US,2950,1,USD,Equities,$7.21 ,"($21,269.50)",11/04/2022 - 14:01
KRTX,Short Proceeds,Karuna Therapeutics Inc,US,-106,1,USD,Equities,$210.65 ,"$22,328.90 ",11/04/2022 - 14:00
CLB,Market - Buy,Core Laboratories N.V.,US,1100,1,USD,Equities,$20.61 ,"($22,671.00)",11/04/2022 - 13:59
GME,Short Proceeds,Gamestop Corporation - Ordinary Shares - Class A,US,-850,1,USD,Equities,$25.74 ,"$21,879.00 ",11/04/2022 - 13:57
SPNE,Market - Buy,SeaSpine Holdings Corp,US,3601,1,USD,Equities,$6.06 ,"($21,822.06)",11/04/2022 - 13:53
COHN,Market - Buy,Cohen & Company Inc,US,2280,1,USD,Equities,$9.40 ,"($21,432.00)",11/04/2022 - 13:52
GDS,Market - Buy,GDS Holdings Limited - ADR,US,2400,1,USD,Equities,$9.21 ,"($22,104.00)",11/04/2022 - 13:50
AIRT,Market - Buy,Air T Inc,US,1000,1,USD,Equities,$22.00 ,"($22,000.00)",11/04/2022 - 13:50
BSVN,Market - Buy,Bank7 Corp,US,865,1,USD,Equities,$25.40 ,"($21,971.00)",11/04/2022 - 13:49
GLSI,Market - Buy,Greenwich LifeSciences Inc,US,2410,1,USD,Equities,$9.19 ,"($22,147.90)",11/04/2022 - 13:49
KOSS,Market - Buy,Koss Corp.,US,3500,1,USD,Equities,$6.35 ,"($22,225.00)",11/04/2022 - 13:47
PFSW,Market - Buy,PFSWEB Inc,US,2210,1,USD,Equities,$9.76 ,"($21,569.60)",11/04/2022 - 13:45
